proverbs ,meaning
Àlejò bí òkété là ń fi èkùrọ́ lọ̀. ,One should approach other people as their stations dictate.
Àlejò tó bèèrè ọ̀nà kò níí sọnù. ,One should be willing to admit one’s ignorance and seek direction. 
Àlùkò ò ní ohùn méjì; ‘‘Ó dilé’’ lagbe ń ké. ,One reveals one’s mettle at one’s place of employment.
Ẹnu iṣẹ́ ẹni ni a ti ń mọ ẹni lọ́lẹ. ,A person who will bring disaster on others behaves like the wayward foot that drags weeds into town.
Amọ̀nà èṣí kì í ṣe amọ̀nà ọdúnnìí. ,The person whose knowledge does not grow with the times soon becomes ignorant.
Ẹní yára ni Ògún ń gbè. ,The swift are justified in taking advantage of the tardy.
Amùṣùà àgbẹ̀ tí ń gbin kókò.,It is a wastrel farmer that plants an inferior crop.
Àpà èèyàn ò mọ̀ pé ohun tó pọ̀-ọ́ lè tán. ,A wastrel knows no thrift.
"Àpà-á fi ọwọ́ mẹ́wẹ̀ẹ̀wá bọ ẹnu; àpà, a-bìjẹun-wọ̀mù-wọ̀mù. ",A wastrel is immoderate in his eating.
Apajájẹ ní ẹ̀rù adìẹ ń ba òun. ,A hardened criminal pretends to have scruples about mere peccadilloes.
"Àpàkòmọ̀rà, tí ń gẹṣin lórí àpáta. ",A person who has no part in paying for a thing is seldom careful in using it.
 A-pẹ́- -jẹ kì í jẹ ìbàjẹ́ . ,Those who are patient will have the best of things.
Àpèmọ́ra là ń pe Tèmídire. ,Each person must advance his or her own interests.
Àpọ́n dògí ó ṣàrò. ,One should make provisions for the future in one’s youth.
Ara ẹ̀ lara ẹ̀: ṣòkòtò ọlọ́pàá. ,"Leave nothing to waste, for one can always find some use for the smallest remnant."
Ara kì í rọni ká ṣẹ́gi ta. ,One who has found success does not persist in grubbing.
"Ara kì í tu ẹni káká, kí ara ó roni koko, ká má leè jíkàkà dÍfá. ","Whatever one’s condition, one does what one must do."
Ará ọ̀run ò ṣ tí aṣọ. ,The uninitiated do not know the customs of a place.
"A-rìn-fàà-lójú-ak gàn, a-yan-kàṣà-lójú-abúni, abúni ò lówó nílé ju ẹnu-u rẹ̀ lọ. ",One’s best course is to ignore detractors and insulters; all they have is their mouths.
Arìngbẹ̀rẹ̀ ni yó mùú oyè délé; asárétete ò róyè jẹ.,The spoils do not necessarily go to those who exert themselves most. 
À-ró-kanlẹ̀ laṣọ ayaba; à-wà-kanlẹ̀ ni ti yàrà. ,"Whatever one has to do, one must be thorough and not satisfied with half measures."
Arúgbó oǹdágbèsè: ó ní mélòó ni òun óò dúró san níbẹ̀? ,A person whose days are numbered can afford to take on long-term obligations freely.
"A-sáré-lówó ń bẹ lọ́nà ogun; A-pọ̀ṣẹ̀ṣẹ̀ ń bẹ lọ́nà èrò; Bó-pẹ́ -títí-n-ó-là ǹ bẹ lábà, ó ń jẹ ẹ̀sun iṣu. ","Wealth comes to those who exert themselves, not to those who wait for it to find them."
"À-sìnkú-àì-jogún, òṣì ní ń tani. ",One should have something to show for one’s efforts.
Asínwín ní òun ó ti iná bọlé; wọ́n ní kó má ti iná bọlé; ó ní òun ó sáà ti iná bọlé; wọ́n ní bó bá tiná bọlé àwọn ó sọ ọ́ si; ó ní ìyẹn kẹ̀ ìkan. ,Even an imbecile becomes sane when his life is at stake.
A-sọ-aré-dìjà ní ń jẹ̀bi ẹjọ́. ,One should take a jest in the spirit of jest.
"A-sọ̀kò-sádìẹ-igba, òkò ní ń sọ tí ilẹ̀- fi ń ṣú. ",Tackling a job with inadequate tools makes the job interminable.
Àṣàyá kì í j kí ọmọ ọ̀yà ó gbọ́n. ,A person who takes life as a jest does not learn to be wary.
"A-ṣe-kó-súni, ẹrú-u Ségbá; ó fọ́ akèrègbè tán ó lọ sóde Ọ̀yọ́ lọ gba onísé wá; bẹ́ẹ̀ni ẹgbàá lowó onísé. ",There is nothing one can do in the face of ingrained folly.
À-ṣe-sílẹ̀ làbọ̀wábá; ẹni tó ṣu sílẹ̀ á bọ̀ wá bá eṣinṣin. ,One reaps what one sows.
À-ṣẹ̀ṣẹ̀-tọ́-ọtí-wò okùn-un bàǹtẹ́ já; bí a bá mu àmuyó ń kọ́? ,One should match the response to the stimulus.
Aṣiwèrè èèyàn lòjò ìgboro ń pa. ,Only an imbecile ignores a refuge when one is available.
Aṣiwèrè èèyàn ní ń gbèjà ìlú-u rẹ̀. ,A town’s cause is no business of any one individual.
"A-ṣoore-jókòó-tì-í, bí aláìṣe ni. ",One should not dwell on what favor one has done.
Aṣòroójà bí ìjà ọjà; onítìjú ò níí sá; ẹni tí ń nà án ò níí dáwọ́ dúró. ,Too much concern with appearances exposes one to occasional inconveniences.
A-ṣòwò-ọṣẹ kì í pa owó ń la. ,One’s success cannot exceed one’s enterprise. 
Aṣọ funfun òun àbàwọ́n kì í rẹ́ . ,A person of good breeding does not associate with an ill-bred person.
Aṣọ ìrókò ò ṣéé fi bora. ,Always use the proper material for the job at hand.
"Aṣọ tá a bá rí lára igún, ti igún ni. ","The vulture may lack feathers, but it does not borrow from other birds."
 A-ṣọ́-ẹ̀hìnkùlé ba ara-a rẹ̀ nínú jẹ́ ; ohun tó wuni là ń ṣe nílé ẹni.,What one does in the privacy of one’s home is nobody else’s business.
Àtàrí ìbá ṣe ìkòkò ká gbé e fún ọ̀tá yẹ̀wò; a ní ó ti fọ́ yányán. ,An enemy is not one to trust with one’s destiny.
Atẹ́gùn ò ṣéé gbé. ,Certain propositions are unrealizable.
Àtẹ́lẹwọ́ ò ṣéé fi rúná.,One should not attempt difficult tasks without the proper resources.
"Atipo ò mọ erèé; ó ní, ‘‘Bàbá, mo réwé funfun lóko.’’ ",Ignorance is a curse.
Àtònímòní ò tó àtànọ́mànọ́.,The person who has endured since yesterday takes precedence over the person who has endured all day.
A-tọrọ-ohun-gbogbo-lọ́wọ́-Ọlọ́run kì í kánjú. ,The supplicant must be patient for an answer.
"A-wí-fúnni-kó-tó-dáni, àgbà òmùjà ni. ",One would be wise to avoid adversaries confident enough to show their hands beforehand.
"À-wí-ìgbọ́, àfọ̀-ọ̀-gbọ́ tí ń fi àjèjé ọwọ́ mumi. ","The obstinate child drinks with the bare hand, even though it is unsatisfying."
Àwítẹ́lẹ̀ ní ń jẹ́ ọmọ́ gbẹ́nà; ọmọ kì í gbẹ́nà lásán. ,A clever child reflects the instruction he or she has received.
Awo aláwo la kì í dá lẹ́ẹ̀mejì. ,"One might not put oneself out for others, but will do so for oneself."
"Àwòdì òkè tí ń wo ìkaraun kọ̀rọ̀, kí ni yó fìgbín ṣe? ",One should not waste time on a task one cannot master.
Awọ erin ò ṣéé ṣe gángan. ,Employ the proper material for the task at hand.
Awọ ẹlẹ́dẹ̀ ò ṣéé ṣe gbẹ̀du.,Certain materials are of no use in some applications.
Awọ ẹnu ò ṣéé ṣe ìlù.,Employ the proper materials for the task at hand.
Àyàn ò gbẹdùn. ,Certain approaches must be rejected as improper.
Àyangbẹ ẹjá dùn; ṣùgbọ́n kí la ó jẹ k já tó yan? ,"Although one must look to the future, one must also take care of the present."
"Ayé ń lọ, à ń tọ̀ ọ́.  ",One lives according to what life confronts one with.
Ayé ò ṣé-é bá lérí; wọ́n lè ṣeni léṣe. ,Be wary in dealing with the world.
"Ayé ò ṣé-é finú hàn; bí o lọ́gbọ̀n, fi síkùn ara-à rẹ. ",People of the world are not reliable; whatever wisdom one wishes to pass on should be reserved for one’s own use.
Baálé àìlọ́wọ̀ ni àlejò àìlọ́wọ̀.,The visitor responds according to his reception.
"Baálẹ̀ àgbẹ̀-ẹ́ ní òun ò ní nǹkan-án tà lọ́run, kí owó ọkà òún ṣáà ti pé. ","If one does not ask for too much, one will not have to die to get it."
Baba-ìsìnkú ò fọmọ-ọ rẹ̀ sọfà; alábàáṣe ń fọmọ-ọ rẹ̀ kówó. ,"The obligated person holds back, whereas the helper risks his all."
"‘‘Báyìí là ń ṣe’’ níbìkan, èèwọ̀ ibòmín-ìn. ","Different people, different ways."
"Bí a bá bá aṣiwèrè gbé, a ó gba odì ọlọgbọ́n; bí a bá bá ewé iyá ṣọ̀tẹ̀, a ó ṣẹ ẹlẹ́kọ. ",Keeping bad company alienates good people; to shun a person is to shun that person’s friends.
"Bí a bá bá ẹrán wí, ká bá ẹràn wí. ","If both sides in a dispute deserve blame, one should apportion it accordingly. "
"Bí a bá fi ọwọ́ ọ̀tún na ọmọ, à fi ọwọ́ òsì fà á mọ́ra. ",A child deserving punishment yet deserves love.
Bí a bá jẹ̀wọ́ tán ẹ̀rín là ń rín; bí a bá yó tán orun ní ń kunni. ,The action should match the occasion. 
"Bí a bá kìlọ̀ fólè, ká kìlọ̀ fóníṣu ẹ̀bá ọ̀nà. ",The offender and the tempter both deserve blame. 
"Bí a bá ní mọ̀, ọ̀mọ̀ràn a mọ̀ ọ́. ",The perceptive person can detect meaning in the slightest of signs.
"Bí a bá ń sunkún, à máa ríran. ","However accommodating one is, one should never take leave of one’s good judgment."
"Bí a bá ránni níṣẹ́ ẹrú, à fi jẹ́ tọmọ.","The wellbred person removes the flaws in a message sent through him, or a task given him to perform."
"Bí a bá rántí ọjọ́ kan ìbálé, ká rántí ọjọ́ kan ìkúnlẹ̀ abiyamọ, ká rántí kan abẹ́ tí ń tani lára. ","As one takes one’s pleasures, one should be mindful of the pains that make them possible."
"Bí a bá rí èké, à ṣebí èèyàn rere ni; à sọ̀rọ̀ ságbọ̀n a jò. ",It is easy to mistake a bad person for a good one and to place trust in that person.
"Bí a bá rí òwúrọ̀, alẹ́ ń kọ́? ",Nobody should be judged until he or she has reached the end of his or her days.
"Bí a bá sọ̀rọ̀ tán, ẹrín là ń rín; bí a bá yó tán orun ní ń kunni. ","When a matter has been taken care of, one turns one’s attention in the appropriate direction."
"Bí a bá ṣe ohun ńlá, à fi èpè gba ara ẹni là. ",One’s greatest duty is self-preservation.
"Bí a bá ta ará ilé ẹni lọ́pọ̀, a kì í rí i rà lọ́wọ̀n-ọ́n mọ́. ","Once one has besmirched the name of a person one is close to, one cannot later wipe it clean."
"Bí a kò bá gbé ọ̀pọ̀lọ́ sọ sínú omi gbígbóná, ká tún gbé e sọ sí tútù, kì í mọ èyí tó sàn. ",It takes a change in circumstances to make one appreciate good fortune.
"Bí a kò bá gbọ́n ju àparò oko ẹni lọ, a kì í pa á. ","To succeed, one must be more clever than one’s adversary."
"Bí a kò bá rádànán, à fòòbẹ̀ ṣẹbọ. ",One makes do with what one can find. See also the next entry.
Bí a kò bá rígún a ò gbọdọ̀ ṣebọ; bí a ò bá rí àkàlà a ò gbọdọ̀ ṣorò. ,Nothing can be accomplished in the absence of the requisite materials. 
"Bí a kò bá torí iṣu jẹ epo, à torí epo jẹṣu. ","If one does not perform a duty because one likes it, one performs it because it is the right thing to do."
"Bí a kò bímọ rí, a kò ha rọ́mọ lẹ́hìn adìẹ? ",Children are no novelty to anyone.
"Bí a kò ránni sọ́jà, ọjà kì í ránni sílé. ","Without making an effort, one cannot expect rewards."
"Bí a kò ṣe ọdẹ rí, a kò lè mọ ẹsẹ̀-ẹ kò-lọ-ibẹ̀un.",One is an ignoramus in a trade that is not one’s own.
"Bí alẹ́ bá lẹ́, à fi ọmọ ayò fún ayò. ","When the time comes, one puts an end to whatever one is doing."
"Bí alẹ́ bá lẹ́ , bọnnọ-bọ́nnọ́ a rẹ̀wẹ̀sì. ",There must be an end to every struggle and every exertion.
"Bí alẹ́ kò lẹ́ , òòbẹ̀ kì í fò. ",All actions must await their auspicious moments.
"Bí apá ò ká àràbà, apá lè ká egbò ìdí-i rẹ̀. ","If one is no match for the father, one may be more than a match for the child."
"Bí àrùn búburú bá wọ̀lú, oògùn búburú la fi ń wò ó. ",One matches the medicine to the disease.
"Bí eégún ó bàá wọlẹ̀, orò ní ń ṣe. ",A person intending to do something extraordinary should give prior warning.
"Bí ẹlẹ́rẹ̀kẹ́ régérégé bá ro ẹjọ́-ọ tirẹ̀ tán, kó rántí pé ẹlẹ́rẹ̀kẹ́ mẹ́kí á rí rò. ",The person who looks good owing to the efforts of his or her subordinates should remember that they also deserve some credit.
"Bí eré bí eré, àlàbọrùn-ún dẹ̀wù. ","Imperceptibly, a stop-gap arrangement has become the status quo.)"
"Bí igí bá wó lu igi, tòkè là ń kọ́ gbé. ",One should attend to affairs according to their urgency.
"Bí ikún bá jẹ, bí ikún bá mu, ikún a wo oòrùn alẹ́ . ","Whatever one does, one should mind the passing of time."
"Bí ilẹ̀ bá laná, ọ̀pọ̀lọ́ á fò gun igi. ","If your position becomes untenable, seek refuge elsewhere."
"Bí ilú bá dá sí méjì, tọba ọ̀rún là ń ṣe. ","If there is a division in one’s group, one takes the side God would favor."
"Bí iṣẹ́ kò pẹ́ ẹni, a kì í pẹ́ iṣẹ́ . ",Tasks that are easy should be finished promptly.
"Bí kò bá tíì rẹ ìjà, a kì í là á. ",One cannot end a fight that is not yet over.
"Bí kókó bá dáni, a kì í jẹ orí ìmàdò; bí a bá jẹ orí ìmàdò, a kì í lọ sí àwùjọ póńpó; bí a bá lọ sí àwùjọ póńpó, ìwọ̀n ara ẹni là ń mọ̀. ","If unforeseen circumstances force one to engage in risky behavior, one should be that much more careful."
"Bí nǹkán bá tán nílẹ̀, ọmọ ẹbọ a bọ́ síjó, àwọn tó wà níbẹ̀ a múra àti lọ. ",One should not hang around after one’s business is done.
‘‘Bí o bá já n ó so ọ́’’; kókó yó wà láàárín-in rẹ̀. ,Something repaired is seldom the same as something unspoilt.
"Bí o kò gbọ́ Ègùn, o kò gbọ́ wọ̀yọ̀-wọ̀yọ̀? ","One may not understand what a person says, but one will be able to tell that the person is speaking."
"Bí o máa ṣe aya Olúgbọ́n ṣe aya Olúgbọ́n; bí o máa ṣe aya Arẹsà ṣe aya Arẹsà, kí o yéé pákọ̀kọ̀ lẹ́gbẹ̀ẹ́ ògiri; ẹni tí yó ṣe aya Olúfẹ̀ a kógbá wálé. ","Once one has chosen a course, one should commit oneself completely to it."
"Bí obìnrin ò bá gbé ilé tó méjì, kì í mọ èyí tó sàn. ","Unless one has tasted some adversity, one does not appreciate good fortune."
"Bí ojú bá mó, olówò a gbówò; ọ̀rànwú a gbé kẹ́kẹ́ ; ajagun a gbé apata; àgbẹ̀ a jí tòun tòrúkọ́; ọmọ ọdẹ a jí tapó tọrán; ajíwẹṣẹ a bá odò omi lọ. ","When morning comes, everybody should embark on something useful."
"Bí ojú bá rí ọ̀rọ̀, a wò ó fín. ",Imperfect understanding causes difficulties.
"Bí ojú ọmọdé ò tó ìtàn, a bá àwígbọ́. ","If one does not witness something, one learns from those who did."
"Bí olósùn-ún bá lọ osùn, ara-a rẹ̀ ní ń fi dánwò. ",One tries a remedy on oneself before offering it to others.
"Bí òrìṣá bá mú ẹlẹ́hìn, kí abuké máa múra sílẹ̀. ","If a person like you suffers a certain fate, you too are at risk."
Bí òwe bí òwe là ńlùlù ògìdìgbó; ọlọgbọ́n ní ń jo; ọ̀mọ̀ràn ní ń sìí mọ̀ ọ́. ,Only the wise can follow subtle discourses.
Bí òwe bí òwe ni Ifá ń sọ̀rọ̀. ,The most profound speech is indirect and subtle.
"Bí ọ̀bùn ò mọ èrè, a mọ ojú owó. ","If a person cannot improve a matter, he should at least not worsen it."
"Bí ọkùnrín réjò, tóbìrín pa á, à ní kéjò má ṣáà lọ. ",One should not be a stickler about roles.
"Bí ọlọgbọ́n bá ń fi wèrè se iṣu, ọ̀mọ̀ràn a máa fi gègé yàn án. ","If a person tries to mislead you, find your own direction."
